"Layer","OA_mean","DIL_mean","Welch_t_p","Wilcoxon_p","Cohens_d_OA_minus_DIL"
"Transcriptomic canonical score",14.1795503900681,-14.1795503900681,0.406204968631958,0.676103314023147,0.556505146202131
"Metabolomic canonical score",9.52500688291317,-9.52500688291315,0.527433705615342,0.834531622710929,0.418250518956112
