SampleID,DIL1,DIL2,DIL3,DIL4,DIL5,OA1,OA2,OA3,OA4,OA5
1700010I14Rik,0,2.374272177,0,0,5.06613604,10.38599821,3.468166712,13.31453803,21.77265325,8.053464373
1700010N08Rik,0,5.453691517,0,17.03560287,5.25958226,0,9.532972372,18.1282618,19.94254411,0
1700011L22Rik,0,2.043455698,0,9.592485538,8.588542998,0,29.90498177,9.479124218,9.070619166,6.720460429
1700011M02Rik,0,0.993474857,0,0,7.412159833,0,0.815309147,0,0,0
1700012A03Rik,0,4.92015981,0,12.56104268,1.546242464,5.537797977,3.661972969,6.142873027,0,1.833362887
1700012B07Rik,0,3.865540113,0,16.24097721,1.652939415,52.24984647,3.734434177,18.3604328,6.948623841,87.79547652
1700012B09Rik,0,0,0,1.236390708,7.765038676,0,4.289199245,9.068920809,0,0
1700012P22Rik,0,1.497457932,0,10.47725466,4.197134726,0,4.770649418,1.068775479,0,0
1700013F07Rik,0,0,0,4.70720645,5.524216405,0,22.87266538,0,7.201928939,0.874290926
1700013G24Rik,0,0.997004666,15.87225577,0,0,0,22.26968881,0,0,0
1700013H16Rik,0,0.989356289,0,1.888383183,0,0,0.79163782,0,8.830940829,0
1700014B07Rik,0,0,0,3.841984936,2.100817771,14.99530447,0,0,11.11710231,0
1700014D04Rik,0,11.27428966,3.777502328,11.88240777,14.19533074,34.08763966,38.92285651,4.206171807,3.505679835,3.886508915
1700015G11Rik,0,0,0,0,0.607479481,0,2.935288053,0,0,10.97879552
1700016C15Rik,0,1.496128174,12.58877182,4.788278333,0,0,4.765538348,0,0,0
1700016D06Rik,0,4.33390368,58.19734042,0.42914506,17.14205952,0,17.26547098,22.66288341,0,8.155592576
1700016H13Rik,0,0.943187515,0,0,3.341959978,0,20.65054047,6.091973742,0,13.3578861
1700016K19Rik,0,6.475504748,0,9.510525252,7.318033535,0,0,3.198394665,0,0
1700017B05Rik,40.2267231,94.01510993,18.56393077,59.37823746,41.32016783,29.15451929,36.08538343,30.27058828,100.4696538,3.014302795
1700017N19Rik,0,5.084903768,0,16.44301926,4.276901808,0,2.795937475,8.730399771,0,2.071707771
1700018B08Rik,24.21169158,6.453749477,0,7.257837854,1.604888154,3.391953921,8.379898678,1.631550552,0,0
1700018F24Rik,0,4.975922356,0,0.949614925,0,0,24.64584443,0,0,4.924222964
1700018G05Rik,0,0,0,0,0,0,0,0,0,0
1700018M17Rik,0,0,0,0,0,0,0,0,0,0
1700019A02Rik,0,0.520020527,0,0,0,9.739286814,1.666768438,0,0,0
1700019D03Rik,34.86426131,30.46366426,21.19864639,15.09766714,9.525928241,26.33502492,48.65264586,20.84982406,2.499068539,114.9004317
1700019M22Rik,0,0,0,0,0,0,0,0,0,10.40812581
1700019N19Rik,0,0,0,0,0,0,0,7.497511581,0,0
1700020A23Rik,0,2.425499571,0,2.339694695,0,0,2.580923776,0,0,6.734533787
1700020L13Rik,28.45519776,11.5583032,1.769626493,1.798889976,11.99985191,21.3405505,7.053639665,36.83532604,0,21.8538439
1700020L24Rik,0,5.356165566,0,7.295270596,2.317356236,0,0,14.133304,0,0
1700020N01Rik,0,1.494583672,19.04277049,4.753328578,1.050400932,0,0.79508589,2.136442616,6.649705377,6.156047882
1700020N15Rik,0,0,0,0.933066275,0,0,0,0,0,0
1700021F07Rik,0,3.500876856,0,0,0,0,0,21.65144577,11.16954955,0
1700022A21Rik,31.23673388,12.58458328,10.54712376,35.87456669,9.28816691,0,0,2.840333404,11.73248097,0
1700022I11Rik,60.84838988,12.52124049,5.486875638,5.081202906,7.797834268,14.75518272,91.00656043,24.25287992,48.18729516,69.11212203
1700024B05Rik,92.75977659,47.43130655,66.69441966,68.8646481,74.70282464,114.327328,120.6154927,54.29532319,104.0590874,105.6456574
1700024G13Rik,0,4.009572504,9.51398412,1.917196866,2.100215105,0,8.77091159,0,0,2.470818179
1700024J04Rik,10.9002642,16.77582062,7.946350914,66.89650388,25.27860482,11.22626446,49.20727049,38.31981045,39.86753184,30.71432957
1700025B11Rik,32.48062457,3.006605068,0,0,7.395287764,0,0,0,0,5.043370365
1700025C18Rik,0,0.49250594,0,6.656175863,0,0,4.718809008,0,0,8.535730169
1700025G04Rik,57.5918029,124.7218133,49.38259485,107.5468669,24.07086468,241.0167639,40.59050896,96.66298692,56.67318331,123.2343017
1700028B04Rik,0,8.490337184,20.62045604,4.765130125,3.149301342,3.740689998,19.88771143,8.554681649,15.5202844,36.96056163
1700028J19Rik,29.08595193,13.91884673,3.671145104,2.999268467,22.07101942,7.409262362,17.27712015,26.55795023,35.9185328,18.53252942
1700028K03Rik,220.9804438,49.88665103,6.282384154,43.6221552,55.48072603,63.55481939,30.67347364,27.67042191,0,16.68931642
1700028P14Rik,24.39290911,1.500716794,0,1.912140343,0,0,3.979672645,0,0,0
1700029F12Rik,0,10.40412765,0,0,9.990469503,0,4.534069463,13.76262778,0,0
1700029H14Rik,0,5.565865757,0,9.425824883,1.450863827,0,11.39550871,8.940295381,0,21.44862696
